Row Number,School Name,Borough,Address,Postcode,Lat,Long,Neighborhood,Ages,Website
146,Fedkids Childcare Center,M,"26 Federal Plaza, Room 110, New York, NY",10278,40.7154857,-74.0041471,Tribeca,Infants-PreK,
147,French Institute Alliance Francaise Preschool,M,"22 East 60th Street, New York, NY",10022,40.7638132,-73.9703952,Upper East Side,3 - 4 years,http://www.fiafpreschool.org/
148,The First Presbyterian Church Nursery School,M,"12 West 12th Street, New York, NY",10011,40.734504,-73.995177,Greenwich Village,2 - 5.6 years,http://www.fpcns.org/
149,FOREST HILLS MONTESSORI SCHOOL,Q,"67-04 Austin St, Forest Hills, NY",11375,40.7239007,-73.855529,Forest Hills,3 - 12 years,https://fhmontessorischool.com/
150,Gan Aliya ,M,"270 W 84th St, New York, NY",10024,40.7871155,-73.9784804,Upper West Side,3-6 years,http://www.ganaliya.org/
151,Garden House School of New York 1,M,"40 Sutton Place, New York, NY",10065,40.7613202,-73.9577821,Upper East Side,2.5-6 years,http://www.gardenhouseschool.com/home_BM.html
152,Garden House School of New York 2,M,"37 East 63rd Street, New York, NY",10022,40.7659499,-73.968654,Midtown,2.5-6 years,http://www.gardenhouseschool.com/home_NY.html
153,Garden School,Q,"33-16 79th Street, Jackson Heights, NY",11372,40.7543703,-73.8885343,Jackson Heights,Nursery (1.9) through 12,www.gardenschool.org
154,The Garvey School,X,"950 Baychester Ave, Bronx, NY",10475,40.8779511,-73.8329466,Eastchester,Nursery (1.9) through Grade 6,http://www.garveyschool.org/
155,Geneva School of Manhattan,M,"138 W 90 St, New York, NY",10024,40.789644,-73.97233,Upper West Side,PreK-Grade 8,http://www.genevaschool.net/
156,Geneva School of Manhattan,M,"593 Park Ave, New York, NY",10065,40.7656561,-73.967277,Upper East Side,PreK,http://www.genevaschool.net/
157,Gillen Brewer School,M,"410 East 92nd Street New York, NY",10128,40.7801725,-73.9459245,Upper East Side,Pre K- Grade 5,https://www.gillenbrewer.com/
158,The Goddard School,M,"751 2nd Avenue, New York, NY",10017,40.7489394,-73.973072,Murray Hill,2 - 5 years,http://www.goddardschool.com/
159,The Goddard School,M,"2495 Broadway, New York, NY",10025,40.7927269,-73.9737163,Upper West Side,2 - 5 years,http://www.goddardschool.com/
160,The Goddard School,M,"1725 York Avenue, New York, NY",10128,40.7782664,-73.9459474,Upper East Side,2 - 5 years,http://www.goddardschool.com/
161,Good Shepherd Early Childhood Center,K,"1943 Brown Street, Brooklyn, NY",11229,40.6044033,-73.9403449,Marine Park,,www.goodshepherdbklyn.org
162,Grace Church School (NYC),M,"254 Hicks Street, Brooklyn NY",10003,40.6939159,-73.9968659,East Village,PreK-Grade 8,http://www.gcschool.org/
163,Greene Hill School,K,"39 Adelphi Street, Brooklyn, NY",11205,40.6968799,-73.9723278,Fort Greene,PreK - Grade 8,https://greenehillschool.org/
164,Guardian Angel School,M,"193 Tenth Avenue, New York, NY",10011,40.7468512,-74.0051577,Chelsea,Pre-K - Grade 8,http://www.guardianangelschool-nyc.org/
165,Gymtime Rhythm and Glues (York Avenue Preschool),M,"1520 York Avenue, New York, NY",10028,40.7722533,-73.9493686,Upper East Side,2-4 years,http://www.gymtime.net/
166,The Nursery School at Habonim,M,"103 West End Ave, New York, NY",10023,40.7750372,-73.9881811,Upper West Side,2.6-6 years,http://www.isaagny.org/school_directory/index.aspx?LinkID=22440
167,Hanson Place SDA School,K,"38 Lafayette Avenue, Brooklyn, NY",11217,40.6867307,-73.9771719,Fort Greene,Pre K - Grade 8,http://hpsdaschool.org/
168,Harvest Preparatory Academy,X,"4036 White Plains Rd, Bronx, NY",10466,40.8895823,-73.8591929,Wakefield,,
169,Hollingworth Preschool,M,"525 W 120th St #309, New York, NY",10025,40.8101745,-73.9606229,Morningside Heights,3 - 5 years,https://www.tc.columbia.edu/hollingworth/preschool/
170,Holy Angels Catholic Academy,K,"337 74th Street, Brooklyn, NY",11209,40.6320693,-74.0262942,Bay Ridge,Pre K - Grade 8,https://holyangelsbayridge.org/classes/pre-k/
171,HOLY CROSS GREEK ORTHODOX SCHOOL,Q,"12-03 150th St, Whitestone, NY",11357,40.7905457,-73.8140871,Whitestone,Nursery - Grade 5,http://www.holycrossgreekschool.com/classes/pre-k/
172,HOLY FAMILY CATHOLIC ACADEMY,Q,"74-15 175th St, Fresh Meadows, NY",11366,40.7285254,-73.7945265,Fresh Meadows,PreK3 - Grade 8,https://holyfamilyca-freshmeadows.org/
173,HOLY MARTYRS ARMENIAN DAY SCHOOL,Q,"209-15 Horace Harding Expwy, Oakland Gardens, NY",11364,40.74648,-73.767476,Oakland Gardens,Nursery - Grade 6,http://www.hmads.org/
174,HOLY TRINITY CATHOLIC ACADEMY,Q,"14-45 143rd St, Whitestone, NY",11357,40.7858779,-73.8254109,Whitestone,PreK - Grade 8,http://www.holytrinitywhitestone.com/
175,Horace Mann School,X,"231 W 246th St, Bronx, NY",10471,40.8938112,-73.8979559,Upper East Side/Riverdale/Kingside,3 years-Grade 12,http://www.horacemann.org/
176,House of Little People,M,"122 E 91st St, New York, NY",10128,40.7827672,-73.9539262,Upper East Side,Infant-PreK,http://www.thehouseoflittlepeople.org/
177,Hudsonway Immersion School,M,"75 Riverside Blvd, New York, NY",10069,40.774506,-73.9914206,Upper West Side,2 - 5 years,https://hwis.org/dayschool/preschool/
178,Hunter College Elementary School,M,"71 E 94th St, New York, NY",10128,40.7859415,-73.9540755,Upper East Side,PreK-Grade 6,http://www.hunterschools.org/es/home
179,IDEAL ISLAMIC SCHOOL,Q,"31-29 12th St, Long Island City, NY",11106,40.7679797,-73.933861,Long Island City,PreK - Grade 7,http://idealislamicschool.org/home
180,IDEAL MONTESSORI SCHOOL,Q,"87-41 165th St, Jamaica, NY",11432,40.7096355,-73.7977698,Jamaica,PreK - Grade 8,https://www.niche.com/k12/ideal-montessori-school-jamaica-ny/
181,Imagine Early Learning Center - DUMBO,K,"85 Adams St, Brooklyn, NY",11201,40.7017361,-73.9883058,Brooklyn Heights,2 months-5 years,http://imagineelc.com/
182,IMMACULATE CONCEPTION CATHOLIC ACAD,Q,"179-14 Dalny Rd, Jamaica Estates, NY",11432,40.7159462,-73.7848786,Jamaica Estates,PreK3 - Grade 8,http://iccajamaica.org/icca/
183,Immaculate Conception School,M,"419 E 13th St, New York, NY",10009,40.7307194,-73.9823142,East Village,PreK-Grade 8,http://www.immaculateconceptionschoolnyc.org/
184,Immaculate Conception School - South Bronx,X,"378 East 151st Street, Bronx, NY",10455,40.8175512,-73.9180249,South Bronx,PreK - Grade 8,http://www.icsfamily.org/student-life/academics/early-childhood-education/
185,Immaculate Conception School - Williamsbridge,X,"760 E Gun Hill Rd, Bronx, NY",10467,40.8762803,-73.8637297,Williamsbridge,Pre-K - Grade 8,https://schoolofimmaculateconception.org/
186,International Academy of New York,M,"150 West 83rd Street, New York, NY",10024,40.7851428,-73.9757256,Upper West Side,3 - 5 years,https://www.ianyc.org/about.html
187,International Preschools (E. 45th St.),M,"330 E 45th St, New York, NY",10017,40.7510852,-73.9695891,East 40s and 50s,Infant-K,https://www.ipsnyc.org/
188,International Preschools (Upper West 76th St.),M,"Address: 120 W 76th St, New York, NY",10023,40.7803034,-73.978182,Upper West Side,Infant-K,https://www.ipsnyc.org/
189,International Preschools (E. 86th Street),M,"345 East 86th St, New York, NY",10028,40.7773757,-73.9499885,East 80s and 90s,Infant-K,https://www.ipsnyc.org/
190,International School of Brooklyn,K,"477 Court St., Brooklyn, NY",11231,40.676527,-73.9982685,Carroll Gardens,3 years - Grade 3,http://isbrooklyn.org/programs/lower-school/nursery-pre-kindergarten/
191,Islamic Cultural Center School,M,"1711 3rd Ave New York, NY",10029,40.7855765,-73.9485819,Upper East Side,2.6 - 5 years,http://icc-ny.us/school/Early%20Learners.html
192,The Jack and Jill School,M,"61 Gramercy Park N, New York, NY",10003,40.7389232,-73.9867528,Flatiron District,2.5 - 5.5 years,https://www.thejackandjillschool.org/
193,JAMAICA SDA-BUSY BEE LEARNING CTR,Q,"88-28 163rd St, Jamaica, NY",11432,40.7078244,-73.7990254,Jamaica,PreK - Grade 8,https://www.niche.com/k12/jamaica-seventh-day-adventist-elementary-busy-bee-learning-center-jamaica-ny/
194,JCC in Manhattan (The Saul & Carole Zabar Nursery School),M,"334 AMSTERDAM AVE, NEW YORK, NY",10023,40.7811304,-73.9802022,Upper West Side,2 years- PreK,http://nurseryschool.jccmanhattan.org/
195,Jewish Community Project Preschool,M,"146 Duane St # A, New York, NY",10013,40.7162066,-74.0080928,Tribeca,2-5 years,https://jcpdowntown.org/early-childhood/preschool/
196,JEWISH FOUNDATION SCHOOL,R,"400 Caswell Ave, Staten Island, NY",10314,40.6144479,-74.1503287,Staten Island,Nursery - Grade 8,https://jfssi.org/about
197,Just Wee Two,K,"111 Remsen Street, Brooklyn, NY",11201,40.6942021,-73.993884,Brooklyn Heights,Toddlers,http://www.justweetwo.com/
198,Just Wee Two,Q,"1300 209th Street, Bayside, NY",11360,40.7881224,-73.7841432,Bayside,Toddlers,http://www.justweetwo.com/
199,Kaplan Nursery School,M,"225 E 51 Street, New York, NY",10022,40.7561705,-73.9690907,East 40s and 50s,2 - 5 years,http://www.spsnyc.org/kaplan-nursery-school
200,The Kew-Forest School,Q,"119-17 Union Tpke, Forest Hills, NY",11375,40.7135585,-73.8333142,Kew Gardens/Forest Hills,3 - 5 years,https://www.kewforest.org/page/about
201,Kid's Korner Pre-School,M,"247 W 24th St, New York, NY",10011,40.7457594,-73.9970289,Chelsea,2-5 years,http://www.thekidskornerpreschool.com/
202,Kinneret Day School,X,"2600 Netherland Avenue, Riverdale, NY",10463,40.8786721,-73.9147998,Riverdale,3 - 5 years,http://kinneretdayschool.org/about-us/early-childhood/
203,Kollel Zichron Yosef Preschool,K,"1358 56th St, Brooklyn, NY",11219,40.6301543,-73.9951854,Borough Park,2 - 5 years,
204,La Escuelita School,M,"225 W 99th St, New York, NY",10025,40.7962913,-73.9690907,Upper West Side,2-5 years,http://laescuelitanyc.org/
205,La Scuola D’Italia Guglielmo Marconi,M,"12 E 96th St, New York, NY",10128,40.7872904,-73.9550168,Upper East Side,PreK-Grade 12,http://www.lascuoladitalia.org/
206,LEARNING TREE MULTI-CULTURAL SCHOOL,Q,"103-02 Northern Blvd, Corona, NY",11368,40.7574034,-73.8654238,Corona,PreK - Grade 8,http://tltstemarts.org/
207,Lefferts Gardens Montessori,K,"527 Rogers Avenue, Brooklyn, NY",11225,40.6590721,-73.95318,Lefferts Gardens,2 - 10 years,http://www.mylgm.com/ages-3-5.html
208,Leif Ericson Day School,K,"1037 72nd Street, Brooklyn, NY",11228,40.6256833,-74.0112375,Dyker Heights,Pre K - Grade 8,http://ledsny.org/index_files/Page744.htm
209,Léman Manhattan Preparatory School,M,"1 Morris St, New York, NY",10004,40.7059138,-74.0141229,Battery Park City,Toddler-Grade 12,http://www.lemanmanhattan.org/
210,Lev Bais Yaakov,K,"3574 Nostrand Ave, Brooklyn, NY",11229,40.5967576,-73.9415389,Sheepshead Bay,PreK - Grade 12,https://www.privateschoolreview.com/lev-bais-yaakov-profile
211,LIFE-SKILLS SCHOOL (THE),Q,"2420 Parsons Blvd, Flushing, NY",11357,40.7775082,-73.8245838,Flushing,Nursery - PreK,https://lifeskillspreschool.com/
212,Little Flower Preschool,K,"755 Eastern Pkwy, Brooklyn, NY",11213,40.6699263,-73.9433528,Crown Heights,2 - 5 years,http://littleflowerdaycare.com/
213,Little Missionary’s Day Nursery - Sarah Curry Preschool,M,"93 St Marks Pl #1, New York, NY",10009,40.7276059,-73.9847247,East Village,2 - 4 years,https://www.lmdn.org/
214,Little Red School House- Lower and Middle Schools,M,"272 6th Ave, New York, NY",10012,40.7292436,-74.0019871,Greenwich Village,4 years- Grade 8,http://www.lrei.org/
215,Luria Academy,K,"238 St Marks Ave, Brooklyn, NY",11238,40.6781754,-73.9680806,Prospect Heights,2 - Grade 8,http://www.luria-academy.org/
216,Lutheran Elementary School,K,"440 Ovington Ave, Brooklyn, NY",11209,40.6329682,-74.0228055,Bay Ridge,PreK - Grade 8,http://www.lesbayridge.com/
217,Lycee Francais de New York,M,"505 E 75th St, New York, NY",10021,40.7688568,-73.9515269,Upper East Side,PreK-Grade 12,http://www.lfny.org/
218,Lyceum Kennedy,M,"225 E 43rd St, New York, NY",10017,40.7510056,-73.9723967,East 40s and 50s,PreK - Grade 11,http://www.lyceumkennedy.org/
219,"Madison Playgroup, The",M,"226 E 60th St, New York, NY",10022,40.7615567,-73.9651074,Upper East Side,2-3 years,http://www.madisonplaygroup.com/
220,Madison Avenue Presbyterian Day School,M,"921 Madison Ave, New York, NY",10021,40.7724954,-73.964499,Upper East Side,Toddlers-K,http://www.mapc.com/nursery/overview
221,Manhattan Christian Academy,M,"401 W 205th Street, New York, NY",10034,40.8627202,-73.9181167,Inwood-Washington Heights,3 - 5 years,http://mcaearlyed.org/
222,Manhattan Country School,M,"150 W 85th St, New York, NY",10024,40.7864425,-73.9746925,Upper East Side,PreK - Grade 8,http://www.manhattancountryschool.org/
223,Manhattan Day School,M,"310 W 75th St, New York, NY",10023,40.7819094,-73.9840589,Upper West Side,PreK - Grade 8,https://www.mdsweb.org/page
224,Manhattan Jewish Montessori,M,"336 East 53rd Street #1, New York, NY",10022,40.7560254,-73.9657618,Midtown East,2 - 4 years,https://www.manhattanjewishmontessori.com/
225,Maryel Preschool,M,"28 E 35th St, New York, NY",10016,40.7479601,-73.9818666,Murray Hill,2 - 5 years,maryelinternationalpreschool.org
226,Marymount School of New York,M,"1026 5th Ave, New York, NY",10028,40.7799242,-73.9612618,Upper East Side,PreK - Grade 12,http://marymountnyc.org/
227,Mary Queen of Heaven Catholic Academy,K,"1326 E 57th St, Brooklyn, NY",11234,40.6209972,-73.920505,Flatlands,3 - Grade 8,https://mqhca.org/
228,Mazel Day School,K,"2901 Brighton 6th Street, Brooklyn NY",11235,40.5812257,-73.9625475,Brighton Beach,Pre K ,https://www.mazeldayschool.com/
229,Merricat's Castle School,M,"316 E 88th St, New York, NY",10128,40.7783133,-73.9495293,Upper East Side,2 - 6 years,http://www.merricats.org/
230,Metropolitan Montessori School,M,"325 W 85th St, New York, NY",10024,40.7887046,-73.9790773,Upper West Side,Pre K- Grade 6,http://www.mmsny.org/
231,Midwood Catholic Academy,K,"1501 Hendrickson St, Brooklyn, NY",11234,40.6203311,-73.9353851,Midwood,3 - Grade 8,https://midwoodcatholicacademy.org/pre-k/
232,MIRAJ ISLAMIC SCHOOL,R,"307 Victory Blvd, Staten Island, NY",10301,40.6348453,-74.0859584,Staten Island,PreK - Grade 8,http://www.mirajschool.org/
233,Mirrer Yeshiva Elementary School,K,"1791 Ocean Pkwy, Brooklyn, NY",11223,40.6050608,-73.9660197,Sheepshead Bay,Pre K - Grade 8,https://www.niche.com/k12/mirrer-yeshiva-educational-institute-brooklyn-ny/
234,Mss Francine Day School II,X,"2169 Grand Concourse, Bronx, NY",10453,40.8551521,-73.9019262,Fordham Heights,Nursery - PreK,https://www.missfrancineschool.com/?_rdr
235,Montclare Children's School,M,"747 Amsterdam Ave, New York, NY",10025,40.7942603,-73.9698551,Upper West Side,2-4 year olds,http://www.montclareschool.org/
236,The Montessori School of New York International,M,"347 E 55th St, New York, NY",10022,40.7575121,-73.9645501,East 40s and 50s,2-13 years,http://montessorischoolny.com/
237,The Montessori School of Manhattan,M,"2 Gold St, New York, NY",10038,40.7074723,-74.0068304,Tribeca,2-6 years,https://www.montessorimanhattan.com/Contact_Us?rc=1
238,Morningside Montessori School,M,"251 W 100th St #6, New York, NY",10025,40.7978634,-73.9709274,Upper West Side,2-5 years,http://www.morningsidemontessori.org/
239,Mt. Carmel-Holy Rosary School,M,"371 Pleasant Avenue, New York, NY",10035,40.7973939,-73.9317086,East Harlem,3 - 5 years,https://www.mtcarmelholyrosary.org/
240,Mt. Moriah Christian Academy,K,"1149 Eastern Parkway, Brooklyn NY",11213,40.6691711,-73.9301726,Crown Heights,Pre K - Grade 8,https://www.mtmoriahchristianacademy.com/
241,MUSLIM CENTER JUNIOR HIGH SCHOOL,Q,"137-58 Geranium Ave, Flushing, NY",11355,40.7508431,-73.8204482,Flushing,PreK - Grade 8,http://www.muslimcenterschool.org/
242,My Little Village Preschool,M,"383 Grand St, New York, NY",10002,40.7156728,-73.9883118,East Village,2 - 5 years,https://www.mylittlevillagepreschool.com/
243,New Amsterdam School,M,"62 AVE B, New York, NY",10009,40.7237297,-73.9826471,East Village,2.9 - 6 years,https://www.newamsterdamschool.org/early-childhood/
245,NEW DORP CHRISTIAN ACADEMY,R,"259 Rose Ave, Staten Island, NY",10306,40.5715611,-74.1147195,Staten Island,PreK - Grade 8,https://www.newdorpchristianacademy.com/
246,New Grace Center,K,"650 Livonia Ave, Brooklyn, NY",11207,40.6647459,-73.8927625,East New York,Pre K - Grade 8,http://www.newgracecenter.com/
247,New Life in Christ,K,"814 Marcy Avenue, Brooklyn, NY",11216,40.6857063,-73.9475317,Bedford-Stuyvesant,2 - 5 years,http://www.newlifeinchristministry.org/
248,New Vistas Academy,K,"3321 Glenwood Rd, Brooklyn, NY",11210,40.6344731,-73.9441335,East Flatbush,Pre K - Grade 12,http://www.newvistasacademy.org/
249,Nord Anglia International School,M,"44 E 2nd St, New York, NY",10003,40.7249246,-73.989775,East Village,2 - 5 years,https://www.nordangliaeducation.com/our-schools/new-york
250,NOTRE DAME ACADEMY ELEM SCHOOL,R,"78 Howard Ave, Staten Island, NY",10301,40.6287646,-74.0894123,Staten Island,PreK - Grade 8,https://es.notredameacademy.org/
251,Oakdale Academy,R,"366 Oakdale St, Staten Island, NY",10312,40.541064,-74.162496,Staten Island,1 mo. - 5 years,http://oakdaleacademy.net/
252,Olivet Academy,M,"6 BARCLAY ST, New York, NY",10007,40.7122441,-74.0091664,Tribeca,Pre K- Grade 6,http://olivetacademy.org/pyp.htm
253,Open House Nursery School,K,"318 Warren St # A, Brooklyn, NY",11201,40.6855144,-73.9919959,Cobble Hill,2-6 years,http://openhousekids.org/
254,OUR LADY OF FATIMA SCHOOL,Q,"25-38 80th St, Jackson Heights, NY",11372,40.7615298,-73.8886283,Jackson Heights,Nursery - Grade 8,http://www.ourladyoffatimaschool.org/home.html
255,OUR LADY OF GOOD COUNSEL SCHOOL,R,"42 Austin Pl, Staten Island, NY",10304,40.6310735,-74.0863714,Staten Island,PreK - Grade 8,http://www.goodcounselsch.org/
256,Our Lady of Grace Catholic Academy,K,"158-20 101 Street, Howard Beach, NY",11414,40.6612215,-73.8330352,Howard Beach,Pre K - Grade 8,https://olgcahb.org/
257,Our Lady of Guadalupe Catholic Academy,K,"1514 72nd St, Brooklyn, NY",11228,40.6190204,-74.0010486,Bensonhurst,Pre K - Grade 8,https://olgacademy.net/
258,OUR LADY OF HOPE CATHOLIC ACADEMY,Q,"61-21 71st St, Middle Village, NY",11379,40.7211197,-73.886699,Middle Village,PreK3 - Grade 8,https://olhca.org/
259,Our Lady of Lourdes School,M,"468 West 143rd St, New York, NY",10031,40.8235395,-73.9481517,Hamilton Heights,3 - 5 years,http://ollnyc.org/academics/private-pre-k/
260,Our Lady of Perpetual Help Catholic Academy,Q,"111-10 115th St, Jamaica, NY",11420,40.6790213,-73.8248729,South Ozone Park,Pre K - Grade 8,https://olphca.org/
261,Our Lady of Pompeii,M,"240 Bleecker St, New York, NY",10014,40.7307157,-74.0029741,Greenwich Village,PreK-Grade 8,http://www.ladyofpompeii.org/
262,Our Lady of Refuge School,X,"2708 Briggs Avenue, Bronx, NY",10458,40.8665794,-73.8912007,Fordham Manor,PreK - Grade 8,https://olrbronx.com/
263,OUR LADY STAR OF THE SEA SCHOOL,R,"5411 Amboy Rd, Staten Island, NY",10312,40.5327889,-74.1912425,Staten Island,PreK - Grade 8,https://www.olss-si.org/
264,Our Lady of Trust Catholic Academy,K,"1696 Canarsie Road, Brooklyn, NY",11236,40.6313061,-73.8908332,Canarsie,3 - Grade 8,https://ourladyoftrustca.org/
265,Our Lady Queen of Angels,M,"232 E 113th St, New York, NY",10029,40.795372,-73.9401642,Harlem,Pre K ,http://www.olqaeastharlem.org/student-life/academic-experience/early-childhood-program/
266,OUR LADY'S CATHOLIC ACADEMY,Q,"125-18 Rockaway Blvd, South Ozone Park, NY",11420,40.6749759,-73.8119929,South Ozone Park,,https://olcacademy.net/
267,Packer Collegiate Institute,K,"170 Joralemon St, Brooklyn, NY",11201,40.6925125,-73.9923231,Brooklyn Heights,3-18 years,http://www.packer.edu/
268,Park Children’s Day School,M,"4 W 76th St, New York, NY",10023,40.7788724,-73.9747613,Upper West Side,2-5 years,http://www.parkchildrensdayschool.org/
269,Park Avenue Methodist Day School,M,"106 East 86th St, New York, NY",10028,40.7797442,-73.9568766,Upper East Side,3 - 5 years,http://pamdayschool.org/
270,Park East Day School,M,"164 E 68th St, New York, NY",10065,40.7673102,-73.9633052,Upper East Side,2 years-Grade 8,http://www.parkeastdayschool.org/
271,Park Avenue Synagogue Early Childhood Center,M,"50 E 87th St, New York, NY",10128,40.7811222,-73.9578868,Upper East Side,2.6-5 years,https://pasyn.org/lifelong-learning/early-childhood-center
272,Park Preschool,M,"275 Greenwich St #8, New York, NY",10007,40.7151648,-74.010962,Tribeca,2-5 years,http://www.theparkpreschool.org/
273,Parkway School,K,"5555 Kings Highway, Brooklyn , New York",11203,40.646344,-73.9246649,Flatbush,PreK - Grade 8,http://www.parkwayschool.org/
274,People's Daycare & Elementary School,K,"2 Van Sinderen Ave, Brooklyn, NY",11207,40.6773416,-73.9034774,Bedford-Stuyvesant,Pre K - Grade 8,https://www.niche.com/k12/peoples-elementary-school-new-york-city-ny-a1101707/
275,Pine Street School,M,"25 Pine Street, New York, NY",10005,40.7070441,-74.0097309,Tribeca,,
276,Plymouth Church School,K,"75 Hicks St, Brooklyn, NY",11201,40.6993529,-73.9937004,Brooklyn Heights,2 - 6 years,http://www.plymouthchurch.org/the-school/
277,Poly Prep Country Day School,K,"50 Prospect Park West, Brooklyn, NY",11215,40.6695022,-73.9734068,Park Slope,3 years-Grade 12,https://www.polyprep.org/page
278,Preschool of America,M,"1190 Park Ave, New York, NY",10028,40.7850247,-73.9540615,Upper East Side,Preschool/Pre-K,http://www.preschoolofamerica.us/visit_a_school.html
279,Preschool of America,M,"1501 Lexington Ave, New York, NY",10128,40.78634,-73.9504237,Upper East Side,Preschool/Pre-K,http://www.preschoolofamerica.us/about-us.html
280,Preschool of America,M,"101 West End Ave, New York, NY",10023,40.7749033,-73.9882882,Upper West Side,Preschool/Pre-K,http://www.preschoolofamerica.us/about-us.html
281,Preschool of America,M,"2109 Broadway, New York, NY",10023,40.7801955,-73.9822322,Upper West Side - Ansonia,Preschool/Pre-K,http://www.preschoolofamerica.us/about-us.html
282,Preschool of America,M,"25 Tudor City Place, New York, NY",10017,40.7486765,-73.9705371,Midtown East,Preschool/Pre-K,http://www.preschoolofamerica.us/about-us.html
283,Preschool of America,M,"345 42nd street, New York, NY",10036,40.7582712,-73.9914967,Midtown West,Preschool/Pre-K,http://www.preschoolofamerica.us/about-us.html
284,Preschool of America,M,"600 6 Ave, New York, NY",10011,40.7394466,-73.9950692,Chelsea,Preschool/Pre-K,http://www.preschoolofamerica.us/about-us.html
285,Preschool of America,M,"25 Market Street, New York, NY",10002,40.712797,-73.9948023,Downtown,Preschool/Pre-K,http://www.preschoolofamerica.us/about-us.html
286,Preschool of America,M,"46 Market Street, New York, NY",10002,40.7121104,-73.9941825,Downtown,Preschool/Pre-K,http://www.preschoolofamerica.us/about-us.html
287,Preschool of America,M,"2 South End Avenue, New York, NY",10282,40.707977,-74.0173492,Battery Park City,Preschool/Pre-K,http://www.preschoolofamerica.us/about-us.html
288,Preschool of America,Q,"112-33 Queens Blvd, Forest Hills, NY",11375,40.7182958,-73.8359332,Forest Hills,Preschool/Pre-K,http://www.preschoolofamerica.us/about-us.html
289,Preschool of America,Q,"186-01 73 Ave, Fresh Meadows, NY",11366,40.7328942,-73.784773,Fresh Meadows,Preschool/Pre-K,http://www.preschoolofamerica.us/about-us.html
290,Preschool of America,Q,"83-38 Cornish Ave, Elmhurst, NY",11373,40.74068,-73.8802892,Elmhurst,Preschool/Pre-K,http://www.preschoolofamerica.us/about-us.html
291,Preschool of America,Q,"63-47 Booth Street, Rego Park, NY",11347,40.7290304,-73.8637297,Rego Park,Preschool/Pre-K,http://www.preschoolofamerica.us/about-us.html
