Row Number,School Name,Borough,Address,Postcode,Lat,Long,Neighborhood,Ages,Website
292,Preschool of America,Q,"42-31 Colden Street, Flushing, NY",11355,40.753896,-73.8261461,Flushing,Preschool/Pre-K,http://www.preschoolofamerica.us/about-us.html
293,Preschool of America,Q,"133-32 41st Road, Flushing, NY",11355,40.7568336,-73.8300748,Flushing,Preschool/Pre-K,http://www.preschoolofamerica.us/about-us.html
294,Preschool of America,K,"382 Baltic Street, Brooklyn, NY",11201,40.6839887,-73.9900856,Cobble Hill,Preschool/Pre-K,http://www.preschoolofamerica.us/about-us.html
295,Preschool of America,K,"859 60th Street, Brooklyn, NY",11220,40.6347356,-74.0078532,Bay Ridge,Preschool/Pre-K,http://www.preschoolofamerica.us/about-us.html
296,Preschool of the Arts,M,"121 W 19th St, New York, NY",10011,40.741057,-73.9955827,Chelsea,1 - 5 years,https://www.nycpreschool.org/
297,Preschool of the Arts,M,"40 W 22nd St, New York, NY",10010,40.7415598,-73.9923231,Flatiron District,1 - 5 years,https://www.nycpreschool.org/
298,Preschool of the Arts,M,"201 E 6th St, New York, NY",10003,40.7283387,-73.990407,East Village,1 - 5 years,https://www.nycpreschool.org/
299,Preschool of the Arts,M,"337 2nd Ave, New York, NY",10003,40.7358124,-73.9826571,Gramercy Park,1 - 5 years,https://www.nycpreschool.org/
300,Preschool of the Arts,M,"207 Thompson St, New York, NY",10012,40.7287744,-73.9994278,Greenwich Village,1 - 5 years,https://www.nycpreschool.org/
301,PROMISE CHRISTIAN ACADEMY,Q,"130-30 31st Ave, Flushing, NY",11354,40.7698272,-73.8390576,Flushing,PreK3 - Grade 8,https://www.pcanyc.org/
302,Prospect Park Yeshiva School,K,"1784 E 17th St, Brooklyn, NY",11229,40.6061728,-73.9566011,Madison,Pre K - Grade 12,http://bloppy.org/pre_school.html
303,Purple Circle Early Childhood Program,M,"251 W 100th St, New York, NY",10025,40.7978634,-73.9709274,Upper West Side,2-6 years,http://www.purple-circle.org/
304,Queen of the Rosary Catholic Academy,K,"1 Catherine Street, Brooklyn, NY",11211,40.7128203,-73.9372645,Williamsburg,3 - Grade 8,https://queenoftherosarybrooklyn.org/
305,Ramaz School,M,"125 E 85th St, New York, NY",10028,40.7791484,-73.9563485,Upper East Side,3 - 5 years,https://www.ramaz.org/page.cfm?p=507
306,Raven’s School,K,"1102 E 92nd St, Brooklyn, NY",11236,40.6422876,-73.9064275,Canarsie,Pre K- Grade 6,https://www.facebook.com/ravensschool/
307,RAZI SCHOOL,Q,"55-11 Queens Blvd, Woodside, NY",11377,40.7425712,-73.9096197,Woodside,PreK - Grade 12,http://www.razischool.org/
308,Red Balloon Day Care Center,M,"560 Riverside Dr, New York, NY",10027,40.8168801,-73.9601368,Morningside Heights,2-5 years,http://www.redballoonlearningcenter.org/
309,Renanim Preschool and Nursery School - Manhattan,M,"336 E 61st St, New York, NY",10022,40.7609502,-73.9618588,Upper East Side,1.6 - 6 years,renanimpreschool.com
310,Renanim Preschool and Nursery School - Bronx,X,"2975 Independence Ave., Riverdale, NY",10463,40.8826778,-73.9181439,Riverdale BX,1.6 - 6 years,http://www.renanimmanhattanpreschool.com/riverdale/child-care-about-us
311,Renanim Preschool and Nursery School - Briarwood,Q,"41-29 84th Drive, Briarwood, NY",11435,40.7119453,-73.8108277,Briarwood,1.6 - 6 years,http://www.renanimmanhattanpreschool.com/briarwood/
312,Resurrection Episcopal Day School,M,"119 E 74th St, New York, NY",10021,40.772273,-73.9619139,Upper East Side,2 years 9 months-6 years,http://www.redsny.org/
313,Rivendell School,K,"277 3rd Ave, Brooklyn, NY",11215,40.6774198,-73.985802,Park Slope,2 - 5 years,https://www.rivendellnyc.org/about-rivendell-preschool/
314,Riverdale Country School,X,"5250 Fieldston Rd, Bronx, NY",10471,40.8996639,-73.9006248,Riverdale/Kingsbridge,PreK-Grade 12,http://www.riverdale.edu/
315,River Park Nursery School,M,"711 Amsterdam Ave, New York, NY",10025,40.7929701,-73.9708775,Upper West Side,2 - 5 years,riverparknurseryschool.com
316,River School,M,"75 West End Ave, New York, NY",10023,40.7817682,-73.9830494,Upper West Side,8 weeks-5 years,http://www.theriverschool.com/
317,Riverside Church Weekday School,M,"490 Riverside Drive, New York, NY",10027,40.8118356,-73.9630243,Morningside Heights,2 - 5 years,https://www.wdsnyc.org/
318,Riverside Montessori School,M,"202 Riverside Drive, New York, NY",10025,40.7936868,-73.9761388,Upper West Side,2 years 9 months-5 years,http://www.twinparks.org/riverside/overview-and-admissions/
319,Rockefeller University Child and Family Center,M,"1230 York Ave, New York, NY",10065,40.7632352,-73.9559157,Upper East Side,3 months-5 years,https://www.rockefeller.edu/child-family-center/
320,Rodeph Sholom School,M,"10 W 84th St, New York, NY",10024,40.7841385,-73.9711685,Upper West Side,Nursery-Grade 8,http://www.rodephsholomschool.org
321,Roosevelt Island Day Nursery,M,"4 River Rd, New York, NY",10044,40.7643703,-73.9480598,Roosevelt Island,3 months-5 years,http://ridn.org/
322,ROSEDALE CHILD DEVELOPMENT CENTER,Q,"133-55 242nd St, Rosedale, NY",11422,40.673372,-73.7316759,Rosedale,PreK - Grade 8,https://www.rosedalechristianschool.com/
323,Rudolf Steiner School,M,"15 E 79th St, New York, NY",10075,40.7768607,-73.9627771,Upper East Side,Nursery-Grade 12,http://www.steiner.edu/
324,Sacred Heart of Jesus School,M,"456 W 52nd St, New York, NY",10019,40.7655272,-73.99028,Midtown,PreK-Grade 8,http://www.shjsnyc.org/
325,Saint Albans School,M,"317 E 50th St, New York, NY",10022,40.754773,-73.96756,East 40s and 50s,PreK-Grade 4,http://www.saintalbansnyc.com/
326,Saint David's School,M,"12 E 89th St, New York, NY",10128,40.7828717,-73.9582541,Upper East Side,PreK-Grade 8,http://www.saintdavids.org/
327,SAINT MARGARET CATHOLIC ACADEMY,Q,"66-10 80th St, Middle Village, NY",11379,40.7157357,-73.8724764,Middle Village,PreK - Grade 8,http://stmargaretschoolmv.org/index.php
328,Salanter Akiba Riverdale Academy,X,"655 W 254th St, Riverdale, NY",10471,40.9038107,-73.9111814,Riverdale,2 - 5 years,https://www.saracademy.org/
329,Salve Regina Catholic Academy,K,"237 Jerome Street, Brooklyn, NY",11207,40.6759878,-73.8870665,East New York,Nursery- Grade 8,https://srca.org/
330,"Science, Language & Arts International School",K,"132 4th Pl, Brooklyn, NY",11231,40.6773496,-73.996983,Carroll Gardens,Nursery to Grade 8,https://slaschool.org/
331,Shaare Torah Preschool,K,"1680 Coney Island Ave, Brooklyn, NY",11230,40.6163142,-73.9639939,Midwood,Pre K - Grade 12,http://www.yeshivatshaaretorah.com/preschool-division/
332,Shalsheles Bais Yaakov,K,"1681 42nd St, Brooklyn, NY",11204,40.6337178,-73.9789968,Borough Park,Pre K - Grade 12,http://shalshelesbyed.wixsite.com/shalshelesbaisyaakov
333,Shulamith School for Girls of Brooklyn,K,"60 West End Ave, Brooklyn, NY",11235,40.5804864,-73.9539377,Brighton Beach,Nursery to Grade 8,https://www.shulamithofbrooklyn.org/
334,Small World Preschool,R,"144 Bloomingdale Rd, Staten Island, NY",10309,40.5276222,-74.2166944,Staten Island,2-4 years,
335,Stephen Wise Free Synagogue Early Childhood Center,M,"30 W 68th St, New York, NY",10023,40.7739657,-73.9791921,Upper West Side,2 - 5 years,ecc.swfs.org
336,Staten Island Academy,R,"715 Todt Hill Rd, Staten Island, NY",10304,40.5949502,-74.10936,Staten Island,3 - 5 years,https://www.statenislandacademy.org/academics/pre-k-through-12-overview
337,ST ANDREW AVELLINO CATHOLIC ACADEMY,Q,"35-50 158th St, Flushing, NY",11358,40.7647627,-73.8076307,Flushing,Nursery - Grade 8,http://www.standrewavellinoca.com/
338,St. Ann - The Personal School,M,"314 E 110th St, New York, NY",10029,40.7926635,-73.9397938,Upper East Side,3-5 years,https://www.stannschoolnyc.org/early-childhood
339,Saint Anne's School,K,"129 Pierrepont St, Brooklyn, NY",11201,40.6952456,-73.9921165,Brooklyn Heights,PreK-Grade 12,http://www.saintannsny.org/
340,Saint Athanasius Catholic Academy,K,"6120 Bay Parkway, Brooklyn, NY",11204,40.6159712,-73.9798349,Mapleton,Nursery to Grade 8,https://stathanasiusacademy.org/
341,St. Athanasius School,X,"830 Southern Blvd, Bronx, NY",10459,40.8171126,-73.8949673,Woodstock,Pre K - Grade 8,https://www.stathanasiusbronx.org/
342,St. Bart’s Community Preschool,M,"325 Park Ave, New York, NY",10022,40.7572236,-73.9731084,East 40s and 50s,2 to 6 years,http://www.stbarts.org/preschool.asp
343,St. Benedict School,X,"1016 Edison Avenue, Bronx, NY",10465,40.8324318,-73.8254109,Schuylerville,3 - 5 years,https://stbenedictschoolbx.org/
344,St. Bernadette Catholic Academy,K,"1313 83rd St, Brooklyn, NY",11228,40.6154832,-74.0113293,Dyker Heights,3 - Grade 8,http://www.stbernadetteschool.org/
345,St. Bernard Catholic Academy,K,"2030 E 69th St, Brooklyn, NY",11234,40.6196052,-73.9102224,Bergen Beach,3 - Grade 8,https://stbernardcatholicacademy.org/
346,ST CLARE CATHOLIC ACADEMY,Q,"137-25 Brookville Blvd, Rosedale, NY",11422,40.6689463,-73.7362473,Rosedale,PreK - Grade 8,https://stclarecatholicacademy.org/
347,ST CLARE SCHOOL,R,"151 Lindenwood Rd, Staten Island, NY",10308,40.5466759,-74.1502121,Staten Island,PreK - Grade 8,http://school.stclaresi.com/home
348,ST DEMETRIOS GREEK AMERICAN SCHOOL,Q,"30-03 30th Dr, Astoria, NY",11102,40.7656229,-73.9231992,Astoria,PreK - Grade 12,http://www.saintdemetriosastoria.com/index2.html
349,Saint Edmund Elementary School,K,"1902 Avenue T, Brooklyn, NY",11229,40.601233,-73.952606,Sheepshead Bay,Nursery to Grade 8,https://stedmundelem.org/
350,Stephen Gaynor School,M,"148 West 90th Street, New York, NY",10024,40.7897905,-73.9726033,Upper West Side,,
351,St. Ephrem Catholic Academy ,K,"924 74th Street, Brooklyn, NY",11228,40.6257482,-74.0153117,Dyker Heights,Nursery to Grade 8,https://stephremacademy.org/
352,ST FRANCIS DE SALES CATHOLIC ACADEMY,Q,"219 Beach 129th St, Belle Harbor, NY",11694,40.5766337,-73.8487522,Belle Harbor,PreK - Grade 8,https://stfrancisacademybh.org/
353,St. Gregory the Great Catholic Academy,Q,"244-44 87th Ave, Bellrose, NY",11426,40.7298852,-73.7217221,Bellrose,Nursery to Grade 8,https://sgtgca.org/
354,St. Hilda's & St. Hugh's,M,"619 W 114th St, New York, NY",10025,40.8073841,-73.9659274,Morningside Heights,Toddlers-Grade 8,http://www.sthildas.org/Default.asp?bhcp=1
355,St. Ignatius Loyola Day Nursery,M,"240 E 84th St, New York, NY",10028,40.7765701,-73.9534096,Upper East Side,2-5 years,http://ignatiusdn.org/
356,St. Jean Baptiste Toddler Playgroup,M,"184 E 76th St, New York, NY",10021,40.7724718,-73.959448,Upper East Side,1.6 - 4 years,http://stjeanbaptisteny.org/toddler-program/
357,ST JOAN OF ARC SCHOOL,Q,"35-27 82nd St, Jackson Heights, NY",11372,40.7508876,-73.8843685,Jackson Heights,PreK3 - Grade 8,https://www.sjaschoolny.org/
358,ST JOHN CHRYSOSTOM SCHOOL,X,"1144 Hoe Ave, Bronx, NY",10459,40.8272863,-73.8906495,South Bronx,3 - 5 years,http://sjchrysostom.org/
359,ST JOSEPH HILL ACADEMY ELEM SCHOOL,R,"850 Hylan Blvd, Staten Island, NY",10305,40.5996508,-74.0707229,Staten Island,Nursery - Grade 8,https://elementary.stjosephhillacademy.com/
360,St. Joseph's School - Yorkville,M,"420 E 87th St, New York, NY",10128,40.7770657,-73.9479624,Upper East Side,PreK-Grade 8,http://www.sjsyorkville.org/
361,St. Joseph the Worker Catholic Academy,K,"241 Prospect Park West, Brooklyn, NY",11215,40.6591603,-73.9806758,Windsor Terrace,Pre-K to Grade 8,https://sjwca.org/
362,ST JOSEPH & THOMAS SCHOOL,R,"50 MaGuire Ave, Staten Island, NY",10309,40.5263574,-74.2110936,Staten Island,Nursery - Grade 8,https://sjstsjn.org/school
363,St. Lucy’s School,X,"830 Mace Ave, Bronx, NY",10467,40.8628756,-73.8620758,Allerton,PreK - Grade 8,https://stlucys.org/
364,St. Luke's School (NY),M,"487 Hudson St, New York, NY",10014,40.7325862,-74.0067038,Greenwich Village,PreK-Grade 8,http://www.stlukeschool.org/
365,ST LUKE SCHOOL,Q,"16-01 150th Pl, Whitestone, NY",11357,40.784447,-73.8101962,Whitestone,Nursery - Grade 8,http://slswhitestone.org/
366,St. Margaret Mary School,X,"121 E 177th St, Bronx, NY",10453,40.8498813,-73.9072313,Morris Heights,Pre K - Grade 8,https://stmargaretmaryschool.org/
367,Saint Mark Catholic Academy,K,"2602 East 19th Street, Brooklyn, NY",11235,40.5880023,-73.9507233,Sheepshead Bay,Nursery-Grade 8,https://smcaonthebay.org/
368,St Mark's Day School,K,"1346 President St, Brooklyn, NY",11213,40.6674658,-73.9449372,Crown Heights,Nursery to Grade 8,http://saintmarksdayschool.org/
369,ST MATTHIAS SCHOOL,Q,"5825 Catalpa Ave, Ridgewood, NY",11385,40.7021626,-73.9024368,Ridgewood,PreK - Grade 8,http://www.stmatthiaschool.org/
370,St Patrick Catholic Academy,K,"401 97th St, Brooklyn, NY",11209,40.6147426,-74.0312516,Bay Ridge,Nursery to Grade 8,https://stpatrickca.org/
371,ST PETER'S PRE-K & ELEMENTARY SCHOOL,K,"105 Highland Pl, Brooklyn, NY",11208,40.6826972,-73.8811637,East New York,Pre K- Grade 6,
372,St. Philip Neri School,X,"3031 Grand Concourse, Bronx, NY",10468,40.8739601,-73.8873421,Norwood,PreK - Grade 8,https://school.stphilipneribronx.org/
373,St. Saviour Catholic Academy,K,"701 8th Ave, Brooklyn, NY",11215,40.6666245,-73.9781822,Park Slope,Nursery to Grade 8,https://saintsaviourcatholicacademy.org/
374,St. Stephen of Hungary,M,"408 E 82nd St, New York, NY",10028,40.7739186,-73.9505891,Upper East Side,PreK-Grade 8,http://www.saintstephenschool.org/
375,St. Thomas More Playgroup,M,"65 E 89th St, New York, NY",10128,40.7827268,-73.9566929,Upper East Side,2-5 years,http://stthomasmoreplaygroup.org/
376,Stars & Knights Day School,K,"414 Utica Ave, Brooklyn, New York",11213,40.6642345,-73.9318718,Crown Heights,Pre K - Grade 8,https://www.niche.com/k12/stars--and--knights-day-school-brooklyn-ny/
377,STATEN ISLAND ACADEMY,R,"715 Todt Hill Rd, Staten Island, NY",10304,40.5949502,-74.10936,Staten Island,Nursery - Grade 12,https://www.statenislandacademy.org/
378,STATEN ISLAND HEBREW ACADEMY,R,"3495 Richmond Road, Staten Island, NY",10306,40.5731702,-74.1373463,Staten Island,PreK - Grade 8,http://www.sihebrewacademy.org/home.html
379,Storefront Academy,M,"70 East 129th Street, New York, NY",10035,40.8076542,-73.9377043,Harlem,2 - 5 years,http://www.storefrontacademy.org/
380,Storefront Academy - South Bronx,X,"423 East 138th Street, Bronx, NY",10454,40.8089129,-73.9217457,South Bronx,2 - 5 years,http://www.storefrontacademy.org/about-storefront-academy-south-bronx
381,Studio School,M,"117 W 95th St, New York, NY",10025,40.7927088,-73.9687808,Upper West Side,PreK - Grade 8,http://www.studioschoolnyc.org/
382,Talmud Torah of Kasho,K,"324 Penn St, Brooklyn, NY",11211,40.7060848,-73.9519105,Williamsburg,Pre K - Grade 12,https://www.niche.com/k12/talmud-torah-of-kasho-brooklyn-ny/
383,Talmud Torah Ohel Yochanan,K,"1460 56th St, Brooklyn, NY",11219,40.6287254,-73.9927133,Borough Park,Pre K - Grade 8,https://www.niche.com/k12/talmud-torah-ohel-yochanan-brooklyn-ny/
384,TALMUD TORAH SIACH YITZCHOK,Q,"1513 Central Ave, Far Rockaway, NY",11691,40.6054684,-73.7511984,Far Rockaway,PreK - Grade 8,https://siachyitzchok.org/
385,Talmud Torah Tzemach Tzadik Viznitz,K,"87 Wallabout Street, Brooklyn, NY",11249,40.699703,-73.95811,Williamsburg,Pre K - Grade 3,https://www.niche.com/k12/talmud-torah-tzemach-tzadik-viznitz-brooklyn-ny/
386,Temple Emanu-El,M,"1 E 65th St, New York, NY",10065,40.7679211,-73.969504,Upper East Side,2 years 7 months-6 years,http://www.emanuelnyc.org/simple.php/ed_early
387,Temple Israel of the City of New York,M,"112 E 75th St, New York, NY",10021,40.7725798,-73.9618358,Upper East Side,2.4 years - PreK,http://www.templeisraelnyc.org/
388,"Temple Shaaray Tefila, Nursery School",M,"250 E 79th St, New York, NY",10075,40.7732275,-73.9555688,Upper East Side,2.6 - 5 years,http://www.shaaraytefilanyc.org/nurseryschool_home/
389,The Family Annex,M,"560 W 113th St #1, New York, NY",10025,40.8056538,-73.9647631,Morningside Heights,1.8 - 5 years,http://www.familyannex.org/
390,The Medical Center Nursery School,M,"60 Haven Ave, New York, NY",10032,40.8435973,-73.9429688,Inwood-Washington Heights,2-6 years,http://www.mcns.org/
391,The Third Street Preschool ,M,"235 E 11th St, New York, NY",10003,40.7308273,-73.9867574,East Village,2-4 years,https://www.thirdstreetmusicschool.org/lessons-classes/by-ages/early-childhood-preschool/full-day-preschool/
392,Tomer Dvora School,K,"4500 9th Ave, Brooklyn, NY",11220,40.6425824,-73.9989341,Borough Park,Pre K - Grade 8,https://www.niche.com/k12/tomer-dvora-school-brooklyn-ny/
393,TOOBAA ACADEMY,Q,"28-18 Steinway St-#206, Astoria, NY",11103,40.7650468,-73.9143505,Astoria,PreK - Grade 12,https://toobaa.org/
394,TORAH ACADEMY FOR GIRLS,Q,"444 Beach 6th St, Far Rockaway, NY",11691,40.5992504,-73.739969,Far Rockaway,PreK - Grade 12,https://www.niche.com/k12/torah-academy-for-girls-far-rockaway-ny/
395,TRUE DELIVERANCE CHRISTIAN SCHOOL,Q,"188-15 Turin Dr, Saint Albans, NY",11412,40.6935288,-73.7642876,Saint Albans,PreK - Grade 8,http://truedeliverancechristianschool.org/
396,The Weekday School at Riverside Church,M,"490 Riverside Dr, New York, NY",10027,40.8118356,-73.9630243,Morningside Heights,2 - 5 years,http://www.theriversidechurchny.org/education/?school
397,WELLSPRING ELEMENTARY,Q,"90-20 191st St, Hollis, NY",11423,40.7132376,-73.7696026,Hollis,PreK - Grade 7,https://wellspringmodel.com/
398,The William Woodward Jr. Nursery School,M,"435 E 70th St, New York, NY",10021,40.7659324,-73.955058,Upper East Side,2-5 years,http://williamwoodwardns.org/
399,WORLD HARVEST DELIVERANCE CENTER,Q,"1521 Central Ave, Far Rockaway, NY",11691,40.605291,-73.7514056,Far Rockaway,PreK - Grade 5,https://www.facebook.com/pages/World-Harvest-Deliverance-Center-Christian-Academy/1588144251416284
400,Town House International,M,"1209 Park Ave, New York, NY",10128,40.7854537,-73.9529504,Upper East Side,2-6 years,http://www.thisny.org/
401,Town School,M,"540 E 76th St, New York, NY",10021,40.7683865,-73.949713,Upper East Side,Nursery-Grade 8,http://www.thetownschool.org/
402,Transfiguration School,M,"10 Confucius Plaza, New York, NY",10002,40.7146455,-73.9968088,Chinatown,3 - 5 years,https://www.transfigurationschoolnyc.org/
403,Trevor Day School,M,"1 W 88th St, NY, NY",10024,40.786889,-73.9686648,Upper West Side,Nursery- Grade 5,http://www.trevor.org/
404,Tribeca Community School,M,"22 Ericsson Pl, New York, NY",10013,40.7203113,-74.0074376,Tribeca - Ericsson Pl,2-5 years,http://www.tribecacommunityschool.com/
405,Tribeca Community School,M,"124 Hudson Street, New York, NY",10013,40.72032,-74.0082306,Tribeca - Hudson St,2-5 years,http://www.tribecacommunityschool.com/
406,Trilok School,K,"143 Waverly Ave, Brooklyn, NY",11205,40.69381,-73.9677132,Williamsburg,Pre-K - Grade 8,http://www.trilokschool.org/program/preschool/
407,Trinity Preschool,M,"50 Park Pl, New York, NY",10007,40.7132986,-74.0101138,Battery Park City,6 months-5 years,http://www.isaagny.org/school_directory/index.aspx?LinkID=22455
408,University Plaza  Nursery School,M,"110 Bleecker St, New York, NY",10012,40.7267143,-73.9985965,Greenwich Village,2 - 5 years,https://www.universityplazanursery.org/
409,Village Preschool Center,M,"136 W 10th St, New York, NY",10014,40.734457,-74.0004951,Greenwich Village,2.5-4.5 years,http://www.villagepreschoolcenter.com/wp/index.php
410,Visitation Academy,K,"8902 Ridge Blvd., Brooklyn, NY",11209,40.6214272,-74.0358417,Bay Ridge,PreK - Grade 8,http://www.visitationacademy.net/
411,WALK IN LOVE CHRISTIAN ACADEMY ,Q,"215-32 Jamaica Ave, Queens Village, NY",11428,40.7170709,-73.7391475,Queens Village,PreK - Grade 12,https://www.walkinlovechristianacademy.org/
412,Washington Market School - Hudson St.,M,"55 Hudson Street, New York, NY",10013,40.7177088,-74.0092572,Tribeca,2-6 years,http://www.washingtonmarketschool.org/
413,Washington Market School - Duane St.,M,"134 Duane Street, New York, NY",10013,40.7159806,-74.0075879,Tribeca,2-6 years,http://www.washingtonmarketschool.org/
414,West Side Montessori,M,"309 W 92nd St, New York, NY",10025,40.7930621,-73.9755419,Upper West Side,2.1-6 years,http://www.wsmsnyc.org/
415,West Village Nursery School,M,"73 Horatio St, New York, NY",10014,40.7388979,-74.0071747,West Village,2-5 years,http://www.westvillagenurseryschool.org/
416,Williamsburg Montessori School,K,"450 Kent Ave, Brooklyn, NY",11249,40.708796,-73.9687796,Williamsburg,Nursery - PreK,https://williamsburg-montessori.org/
417,The Williamsburg Neighborhood Nursery School,K,"54 S 2nd St, Brooklyn, NY",11249,40.7142522,-73.9658766,Williamsburg,2 - 4 years,https://www.wnns.org/
418,Williamsburg Northside School,K,"299 N 7th St, Brooklyn, NY",11211,40.7149199,-73.9528471,Williamsburg,2 - Grade 8,https://www.willnorth.org/
419,Windmill Montessori School,K,"1317 Avenue T, Brooklyn, NY",11229,40.6011357,-73.9580475,Sheepshead Bay,Pre K - Grade 8,http://www.windmont.org/
420,Yeshiva Ahavas Torah,K,"2961 Nostrand Avenue, Brooklyn, NY",11234,40.6121821,-73.9437661,Marine Park,Pre K - Grade 8,http://yahavastorah.com/
421,YESHIVA DARCHEI TORAH,Q,"257 Beach 17 St, Far Rockaway, NY",11691,40.5968836,-73.751601,Far Rockaway,PreK - Grade 12,www.darchei.org/
422,YESHIVA HAR TORAH,Q,"250-10 Grand Central Pkw, Bellerose, NY",11426,40.7523681,-73.7238922,Bellerose,PreK - Grade 8,http://www.hartorah.org/
423,Yeshiva Ketana of Bensonhurst,K,"2025 67th Street, Brooklyn, NY",11204,40.6150613,-73.986102,Bensonhurst,Nursery- Grade 8,http://www.rabbihorowitz.com/PYes/SchoolDetails.cfm?School_ID=660
424,Yeshivat Lev Torah,K,"3300 Kings Highway, Brooklyn, NY",11234,40.6184228,-73.94209,Sheepshead Bay,Pre K - Grade 8,http://www.levtorah.org/
425,YESHIVA & MESIVTA TORAH VODAATH,K,"425 East 9th Street, Brooklyn, NY",11218,40.6381105,-73.9693203,Kensington,Nursery (1.9) through 12,https://www.torahvodaath.org/
426,YESHIVA & MESIVTA TORAH VODAATH - Preschool Satellite,K,"1192 E 31st St, Brooklyn, NY",11210,40.6222676,-73.9453275,Marine Park,Pre K ,https://www.torahvodaath.org/
427,YESHIVA OF CENTRAL QUEENS,Q,"147-37 70th Rd, Flushing, NY",11367,40.729914,-73.8192534,Flushing,Nursery - Grade 8,http://www.ycqweb.com/index.htm
428,Yeshiva of Flatbush,K,"919 E 10TH STREET, BROOKLYN, NY",11230,40.626692,-73.966257,Flatbush,Pre K - Grade 12,http://www.flatbush.org/content.aspx?rec_id=100062
429,YESHIVA RLKTI PRIMARY,Q,"80-11 210th St, Jamaica, NY",11427,40.7329402,-73.7603371,Jamaica,PreK - Grade 8,https://www.niche.com/k12/yeshiva-primary-junior-high-school-oakland-gardens-ny/
430,YESHIVA SHA'AREI ZION OHEL BRACHA,Q,"75-24 Grand Central Pkwy, Forest Hills, NY",11375,40.7188646,-73.8347845,Forest Hills,PreK - Grade 6,
431,Yeshiva Sharei Hayosher,K,"1334 Ocean Pkwy, Brooklyn, NY",11230,40.6161135,-73.9695269,Midwood,Nursery - K,https://www.facebook.com/Yeshiva-Sharei-Hayosher-181394158627661/
432,YESHIVAT OHR HAIIM,Q,"86-06 135th St, Richmond Hill, NY",11418,40.7055767,-73.8207238,Richmond Hill,PreK - Grade 8,https://www.niche.com/k12/yeshivat-ohr-haiim-richmond-hill-ny/
433,Yeshiva Toldos Yesuscher,K,"1531 63 STREET, BROOKLYN, NY",11219,40.6241331,-73.9949257,Mapleton,2 - 5 years,https://a816-healthpsi.nyc.gov/ChildCare/WDetail.do?linkPK=DC34746
434,Yeshiva Torah Temimah,K,"507 Ocean Pkwy, Brooklyn, NY",11218,40.6359816,-73.9720294,Flatbush,Nursery (1.9) through 12,http://www.ytt.edu
435,Yeshiva Toras Emes Kaminetz Elementary School,K,"1904 Avenue N, Brooklyn, NY",11230,40.615765,-73.955499,Midwood,Pre K - Grade 8,https://www.facebook.com/pages/Yeshiva-Toras-Emes-Kaminetz-Elementary-School/521030471333568
436,York Avenue Preschool,M,"1520 York Ave, New York, NY",10028,40.7722533,-73.9493686,Upper East Side,2 - 5 years,yorkavenuepreschool.org